Latitude,Longitude,FacilityName,Street,City,County,State,ZIPCode,ParentName,StandardizedParentCompany,NAICS1
40.716651,-74.151267,ENGELHARD CORP NEWARK,429 DELANCY ST,NEWARK,ESSEX,NJ,7105,ENGELHARD CORP,,211112
40.71751,-73.42012,ATOMERGIC CHEMETALS CORP,91 CAROLYN BLVD,FARMINGDALE,SUFFOLK,NY,11735,NA,,211112
43.08288,-79.04129,STANDARD OIL ENGINEERING MATERIALS CO,BUFFALO AVE,NIAGARA FALLS,NIAGARA,NY,14303,BP AMERICA INC,,211112
41.4024,-75.715,DOMINION AIRTECH LLC,398 S KEYSER AVE,TAYLOR,LACKAWANNA,PA,18517,NA,,211111
40.01672,-75.3195,CHEMALLOY COMPANY INC,996 RAILROAD AVE,BRYN MAWR,DELAWARE,PA,19010,NA,,211112
33.290556,-81.648889,US DOE SAVANNAH RIVER SITE-SAVANNAH RIVER REMEDIATION CO,BUILDING 766-H ROOM 2308,AIKEN,AIKEN,SC,29808,AECOM,AECOM,211112
33.45226,-81.9292,TENNESSEE CHEMICAL CO,COLUMBIA NITROGEN  RD,AUGUSTA,RICHMOND,GA,30903,NA,,211112
32.0774,-81.08181,EAST COAST TERMINAL,HARBOR ST,SAVANNAH,CHATHAM,GA,31402,ALCAN ALUMINUM CORP,,211112
31.061148,-87.241152,FLOMATON TREATING FACILITY,4704 WOLF LOG RD,FLOMATON,ESCAMBIA,AL,36441,ESCAMBIA OPERATING CO LLC,EAGLE ROCK FIELD SERVICES LP,211112
31.071769,-87.363442,BIG ESCAMBIA CREEK GAS PLANT,3888 SARDIS CHURCH RD,ATMORE,ESCAMBIA,AL,36502,ESCAMBIA OPERATING CO LLC,ESCAMBIA OPERATING CO LLC,211130
37.8125,-87.65,HENDERSON COUNTY RIVERPORT AUTHORITY,RTE 2 HWY 136,HENDERSON,HENDERSON,KY,42420,ALCAN ALUMINUM CORP,,211112
41.737601,-86.831043,REXFORD RAND CORP.,114 ANCHOR RD.,MICHIGAN CITY,LAPORTE,IN,46360,NA,,211112
42.9178,-85.7475,ORGANIC CHEMICALS INC,"3291 CHICAGO DR, SW",GRANDVILLE,KENT,MI,49418,NA,,211112
41.806309,-90.239103,VERTEX CHEMICAL CORP,HWY 30 W,DE WITT,CLINTON,IA,52742,VERTEX CHEMICAL CORP,,211112
43.02323,-87.90862,HYDRITE CHEMICAL CO,229 NATL AVE,MILWAUKEE,MILWAUKEE,WI,53204,HYDRITE CHEMICAL CO,,211112
44.994126,-92.758605,JONES CHEMICALS INC,MONROE ST N,HUDSON,ST. CROIX ISLAND,WI,54016,NA,,211112
47.82674,-103.208236,KOCH HYDROCARBON CO MCKENZIE GAS PLANT,16 MILES SE OF SIDNEY MONTANA,WATFORD CITY,MCKENZIE,ND,58854,KOCH INDUSTRIES INC,,211112
46.89413,-114.0272,THATCHER CO OF MONTANA,3200 RASER DR,MISSOULA,MISSOULA,MT,59801,THATCHER CO,,211112
40.719994,-116.090673,THATCHER CO OF NEVADA,FRONTAGE RD E OF CARLIN,CARLIN,CLARK,NV,59822,THATCHER CO,,211112
