,,School Type,NCES - School ID,,School Name,School Address,Latitude,Longitude,Tags (State)
,,High,10024000048,,Prattville High School,"1315 Upper Kingston Rd, Prattville, AL 36067",32.5008882,-86.4713778,AL
,,Elementary,10108001767,,A M Windham Elementary School,"200 Heritage Dr, Daleville, AL 36322",31.3088164,-85.7150897,AL
,,Elementary,10174000602,,Abbeville Elementary School,"100 Elm St, Abbeville, AL 36310",31.5672413,-85.2488858,AL
,,High,10174000600,,Abbeville High School,"411 Graball Cutoff, Abbeville, AL 36310",31.5821565,-85.2782291,AL
,,Middle,10180002478,,Academy for Academics and Arts Middle School,"4800 Sparkman Dr NW, Huntsville, AL 35810",34.760244,-86.6365459,AL
,,Elementary,10180000624,,Academy For Science & Foreign Language,"3221 Mastin Lake Rd NE, Huntsville, AL 35810",34.7706241,-86.6096864,AL
,,Elementary,10019702432,,Acceleration Day and Evening Academy,"3100 Cottage Hill Rd, Mobile, AL 36606",30.6680135,-88.1200628,AL
,,Elementary,010162001665,,Adams Elementary School,"919 Raley St Gadsden, AL 35903-2064",34.0004275,-85.9669335,AL
,,Elementary,10192000681,,Adamsville Elementary School," 4600 Hazelwood Rd, Adamsville, AL 35005",33.5936897,-86.957324,AL
,,Pre-K -12,10039001296,,Adolescent Day Treatment,"1632 7th Ave S, Birmingham, AL 35233",33.5041211,-86.8041251,AL
,,Elementary,10318001209,,AH Watwood Elementary School,"3002 Limbaugh Ave, Childersburg, AL 35044",33.265477,-86.3564078,AL
,,Middle,10129002147,,Airport Road Intermediate School,"384 Blackmon Farm Ln Coosada, AL 36020",32.5156926,-86.3419466,AL
,,Alternative High,10018302114,,Alabama Clinical Schools,"1221 Alton Dr, Birmingham, AL 35210",33.5845703,-86.6461063,AL
,,Pre-K -12,10012002461,,Alabama Renaissance School,"405 South Street East Athens, AL 35611",34.8001968,-86.9648853,AL
,,Pre-K -12,10000901404,,Alabama School For Blind,"705 South Street E, Talladega, AL 35160",33.4328304,-86.0894725,AL
,,Pre-K -12,10000901403,,Alabama School For Deaf,"205 E South Street Talladega, AL 35160-2411",33.4308586,-86.0991039,AL
,,Academy,10141002439,,Alabama Virtual Academy at Eufaula City Schools,"831 W Washington St, Eufaula, AL 36027",31.8875636,-85.1576988,AL
